SIN ,Model # ,Description ,GSA Rate
132-8 ,NAC-3001 ,NAC MPEG-1 Ethernet Live Streaming Video Encoder Includes MPEG-1 firmware ONLY! ,"$3,859.89 "
132-8 ,NAC-3002 ,"NAC™ Ultra Low-Latency (LL), MPEG -2 High Quality Full Resolution Ethernet Live Streaming Video Encoder Includes MPEG-1and LL MPEG-2 firmware ONLY! ","$8,496.41 "
132-8 ,NAC-3003 ,"NAC™ Standard Latency, MPEG -2 Superior Quality Full Resolution Ethernet Live Streaming Video Encoder Includes MPEG-2 and MPEG-1 firmware ONLY! ","$6,950.90 "
132-8 ,NAC-3004 ,NAC™ Ultra Low Latency MPEG -2 High Quality Full Resolution and Standard Latency MPEG-2 Superior Quality Ethernet Live Streaming Video Encoder Includes all 4:2:0 MPEG­2 and MPEG-1 firmware options. ,"$9,269.16 "
132-8 ,NAC-3001D ,NAC MPEG-1 Ethernet Live Streaming Video Encoder Includes MPEG-1 firmware ONLY! ,"$4,632.65 "
132-8 ,NAC-3002D ,"NAC™ Ultra Low-Latency (LL), MPEG -2 High Quality Full Resolution Ethernet Live Streaming Video Encoder Includes MPEG-1and LL MPEG-2 firmware ONLY! ","$9,269.16 "
132-8 ,NAC-3003D ,"NAC™ Standard Latency, MPEG -2 Superior Quality Full Resolution Ethernet Live Streaming Video Encoder Includes MPEG-2 and MPEG-1 firmware ONLY! ","$7,723.66 "
132-8 ,NAC-3004D ,NAC™ Ultra Low Latency MPEG -2 High Quality Full Resolution and Standard Latency MPEG-2 Superior Quality Ethernet Live Streaming Video Encode r Includes all 4:2:0 MPEG­2 and MPEG-1 firmware options. ,"$10,041.91 "
132-8 ,NAC-4001 ,NAC™ MPEG-1/MPEG-2 Ethernet Live Streaming Video Receiver ,"$2,314.39 "
132-8 ,NAC-3012 ,Upgrade from 3001 to 3002 ,"$5,409.27 "
132-8 ,NAC-3013 ,Upgrade from 3001 to 3003 ,"$3,863.76 "
132-8 ,NAC-3014 ,Upgrade from 3001 to 3004 ,"$5,795.64 "
132-8 ,NAC-3024 ,Upgrade from 3002 to 3004 ,"$1,545.51 "
132-8 ,NAC-3034 ,Upgrade from 3003 to 3004 ,"$3,091.01 "
,,NAC Peripherals ,
132-8 ,NAC-101 ,Rack mount kit for NAC-3000 & NAC-4000 Fits up to two (2) NAC systems side-by-side per kit. ,$154.55 
132-8 ,C-003-N ,"Audio Connector, XLR male to RCA male ",$13.90 
132-8 ,C-004-N ,"Audio Decoder Cable, DB9 to XLR male, X ft. For NAC-4001 decoder ",$77.28 
132-8 ,C-005-N ,"Audio Connector, XLR female to RCA male ",$13.90 
132-8 ,C-006-N ,"Audio Encoder Cable, DB9 to XLR female, 6 ft. For NAC-3000 Encoders. ",$77.28 
,,OptiVideo Server ,
132-8 ,OV-5001 ,OptiVideo Server for live MPEG stream capture and playback as well as content and system scheduling and management. 1 RU server includes pre-installed OptiVideo Server software and integrated web server for management and scheduling interface for recordin,"$7,723.66 "
,,VS-PRO - Live Streaming Video System ,
132-8 ,VS-2310 ,MPEG-2 1 Channel Full (720H) Resolution Encoder/Transmitter Base System with 10/100Base-T Network Interface.  Supports ALL Network Interface options with 2Mb/s throughput or higher. Includes one Pro Encoder. Also includes 4:2:0 Standard Latency MPEG-2 Sup,"$21,080.69 "
132-8 ,VS-2311 ,MPEG-2 1x1 Full (720H) Resolution CODEC/Transceiver Bas e System with 10/100Base-T Network Interface. Supports ALL Network Interface options with 4Mb/s throughput or higher. Includes one Pro encoder and one Pro decoder. Also includes 4:2:0 Standard Latenc,"$23,012.57 "
132-8 ,VS-2312 ,MPEG-2 1x2 Full (720H) Resolution CODEC/Transceiver Base System with 10/100Base-T Network Interface. Supports ALL Network Interface Options with 6Mb/s throughput or higher.  Includes one Pro Encoder and two Pro Decoders. Also includes 4:2:0 Standard Laten,"$24,944.45 "
132-8 ,VS-2313 ,MPEG-2 1x3 Full (720H) Resolution CODEC/Transceiver Base System with 10/100Base-T Network Interface. Supports ALL Network Interface Options with 6Mb/s throughput or higher. Includes one Pro Encoder and three Pro Decoders. Also includes 4:2:0 Standard Late,"$26,876.33 "
132-8 ,VS-2314 ,"MPEG-2 1x4 Full (720H) Resolution CODEC/Transceiver Base System with 10/100Base-T Network Interface. Supports Network Interface Options with 10Mb/s throughput or higher (Only 1 Network Interface can be supported), except T1/3P, T1/4P, V35/3P, V35/4P.  Inc","$28,808.21 "
132-8 ,VS-2320 ,MPEG-2 2 Channel Full (720H) Resolution Encoder/Transmitter Base System with 10/100Base-T Network Interface.  Supports ALL Network Interface Options with 4 Mb/s or higher throughput. Includes two Pro Encoders. Al so includes 4:2:0 Standard Latency MPEG-2 ,"$34,433.85 "
132-8 ,VS-2321 ,MPEG-2 2x1 Full (720H) Resol ution Encoder/Transmitter Base System with 10/100Base-T Network Interface. Supports ALL Network Interface Options with 6 Mb/s or higher throughput. Includes two Pro Encoders and one Pro Decoder. Also includes 4:2:0 Standard La,"$36,365.73 "
132-8 ,VS-2322 ,MPEG-2 2x2 Full (720H) Resolution Encoder/Transmitter Base System with 10/100Base-T Network Interface. Supports Network Interface Options with 8 Mb/s or higher throughput. (Max 2 Network Interfaces can be supported). Includes two Pro Encoders and two Pro ,"$38,297.61 "
132-8 ,VS-2330 ,MPEG-2  3x0 Channel Full (720H) Resolution Encoder/Transmitter Base System with 10/100 base-T Network Interface.   Supports Network Interface Options with 6Mb/s throughput or higher. (Max 2 Network Interfaces can be supported). Includes three Pro Encoders,"$47,787.01 "
132-8 ,VS-2331 ,"MPEG-2 3x1 Full (720H)  Resolution CODEC/Transceiver Base System with 10/100 base-T Network Interface. Supports Network Interface Options with 8Mb/s throughput or higher, except T1/3P, T1/4P, V35/3P, V35/4P. (Only 1 Network Interface can be supported). In","$49,718.90 "
132-8 ,VS-2340 ,MPEG-2 4 Channel Full (720H) Resolution Encoder/Transmitter Base System with 10/100Base-T Network Interface.  Supports Network Interface Options with 8 Mb/s or higher throughput. (Max 2 Network Interfaces can be supported). Includes four Pro Encoders. Als,"$60,367.43 "
132-8 ,VS-2341 ,"MPEG-2 4x1 Full (720H) Resolution CODEC/Transceiver Base System with 10/100Base-T Network Interface. Supports Network Interface Options with 10 Mb/s throughput or higher, except T1/3P, T1/4P, V35/3P, V35/4P. (Only 1 Network Interface can be supported). In","$62,299.31 "
132-8 ,VS-2001D ,MPEG-2 1 Channel Receiver/Decoder System with 10/100Base-T Network Interface and Analog or Digital Audi o/Video outputs Supports ALL Network Interface Options with 8 Mb/s throughput or higher. ,"$8,886.65 "
132-8 ,VS-2002D ,MPEG-2 2 Channel Receiver/Decoder System with 10/100Base-T Network Interface and Analog or Digital Audio/Video outputs Supports ALL Network Interface Options with 8 Mb/s throughput or higher. ,"$10,818.54 "
132-8 ,VS-2003D ,MPEG-2 3 Channel Receiver/Decoder System with 10/100Base-T Network Interface and Analog or Digital Audio/Video outputs Supports ALL Network Interface Options with 8 Mb/s throughput or higher. ,"$12,750.42 "
132-8 ,VS-2004D ,MPEG-2 4 Channel Receiver/Decoder System with 10/100Base-T Network Interface and Analog or Digital Audio/Video outputs. Supports ALL Network Interface Options with 8 Mb/s throughput or higher. (Max. 2 Network Interfaces can be supported). ,"$14,295.92 "
132-8 ,VS-2005D ,MPEG-2 5 Channel Receiver/Decoder System with 10/100Base-T Network Interface and Analog or Digital Audio/Video outputs. Supports ALL Network Interface Options with 8 Mb/s throughput or higher. (Max. 1 Network Interface can be supported). ,"$15,841.43 "
,,VS-Pro Network Interface Options ,
132-8 ,ETH ,10/100 T Ethernet Interface ,$309.10 
132-8 ,G-ETH ,"Gigabit Ethernet Interface (1,000 Mb/s) ","$1,545.51 "
132-8 ,OC-3a ,High Performance ATM OC-3 Network Interface (155 Mb/s) ,"$3,863.76 "
132-8 ,T1/2P ,Dual T1 Network Interface (3.072 Mb/s) with Inverse Mux ,"$3,091.01 "
132-8 ,T1/3P ,Triple T1 Network Interface (4.608 Mb/s) with Inverse Mux ,"$5,022.89 "
132-8 ,T1/4P ,Quad T1 Network Interface (6.144 Mb/s) with Inverse Mux ,"$5,795.64 "
132-8 ,T1P ,Single T1 Network Interface (1.536 Mb/s) ,"$2,240.98 "
132-8 ,V35/2P ,Dual V.35 Network Interface (12 Mb/s) with Inverse Mux ,"$2,086.43 "
132-8 ,V35/3P ,Triple V.35 Network Interface (18 Mb/s) with Inverse Mux ,"$3,593.30 "
132-8 ,V35/4P ,Quad V.35 Network Interface (24 Mb/s) with Inverse Mux ,"$3,960.35 "
132-8 ,V35P ,Single V.35 Network Interface (6 Mb/s) ,"$1,738.69 "
,,VS-Pro Peripherals ,
132-8 ,C-001-V ,"Encoder Analog Audio cable, DB15 to four (4) XLR female, 6 ft. For Pro Encoder (MPEG-2 full resolution) ",$77.28 
132-8 ,C-002-V ,"Encoder AES/EBU Digital Audio cable, DB15 to two (2) XLR female, 6 ft. For Pro Encoder (MPEG-2 full resolution) ",$57.95 
132-8 ,C-003-V ,"Audio Connector, XLR male to RCA male ",$13.90 
132-8 ,C-005-V ,"Audio Connector, XLR female to RCA male ",$13.90 
132-8 ,C-006-V ,"Audio Encoder Cable, DB9 to two (2) XLR female, 6 ft. For VS-Pro™ VS-21xx, and NAC­3000 Encoders. ",$77.28 
132-8 ,C-007-V ,"Decoder Analog & Digital audio cable, DB9 to (2 Analog) XLR-M and (1 Digital) XLR-M, 6 ft. For Pro Decoder. ",$115.91 
132-8 ,D-2002 ,"Pro MPEG-2/MPEG-1 Decoder with Analog and Digital Outputs and Genlock, and complete system test [expansion channel]. ","$3,087.14 "
132-8 ,E-2001 ,Pro Encoder MPEG1/MEPG2 with Analog and Digital inputs and complete system test [expansion channel]. ,"$15,068.67 "
132-33 ,MN-3P ,"mpegNet version 3 Streaming Software Engine for VS-2311B Configurations  Only one required per VS-2311B system.  Includes software, CD-ROM media, and documentation."" ","$1,931.88 "
132-8 ,PRO-RR ,Slide Rails for VS-Pro™ System ,$154.55 
132-8 ,SY-0699 ,"Encoder Redundancy System Supports the automatic rerouting of audio/video content through a backup MPEG video encoder in the event that one of ""N"" encoders fails. Includes composite video/audio matrix switch, application switch agent and control/monitorin","$11,591.29 "
,,LivePlayer - Streaming Media Desktop Player ,
132-33 ,LP1-BUN ,LivePlayer™ 1.0 Bundle Includes one (1) LivePlayer client license for playing live streams and stored video files at the desktop.  Does not require web browser or a web server. Uses MPEG-1 software decoder built into WIN95/98 or NT. Bundle includes softwa,$57.95 
132-33 ,LP1-DOC ,LivePlayer™ 1.0 Documentation ,$23.18 
132-33 ,LP1-LIC01 ,Single license only ,$19.31 
132-33 ,LP1-LIC10 ,LivePlayer™ 1.0 - Software License Expansion  Additional 10 Desktop client licenses. ,$154.55 
132-33 ,LP1-LIC25 ,LivePlayer™ 1.0 - Software License Expansion  Additional 25 Desktop client licenses. ,$347.74 
132-33 ,LP1-LIC50 ,LivePlayer™ 1.0 - Software License Expansion  Additional 50 Desktop client licenses. ,$618.20 
132-33 ,LP1-LIC-B ,LivePlayer™ 1.0 - Single Building License ,"$1,928.01 "
132-33 ,LP1-LIC-E ,LivePlayer™ 1.0 - Enterprise License (Campus) ,"$5,791.77 "
132-33 ,LP1.2-BUN ,LivePlayer™ 1.2 Bundle Includes one (1) LivePlayer client license for playing live streams and stored video files at the desktop. Does not require web browser or a web server. Uses MPEG-1 or MPEG-2 software decoder built into WIN95/98 or NT with at least ,$112.04 
132-33 ,LP1.2-DOC ,LivePlayer™ 1.2 Documentation ,$23.18 
132-33 ,LP1.2-LIC01 ,LivePlayer™ 1.2 Single license only ,$73.41 
132-33 ,LP1.2-LIC10 ,LivePlayer™ 1.2 - Software License Expansion  Additional 10 Desktop client licenses. ,$386.38 
132-33 ,LP1.2-LIC25 ,LivePlayer™ 1.2 - Software License Expansion Additional 25 Desktop client licenses. ,$772.75 
132-33 ,LP1.2-LIC50 ,LivePlayer™ 1.2 - Software License Expansion Additional 50 Desktop client licenses. ,"$1,159.13 "
132-33 ,LP1.2-LIC-B ,LivePlayer™ 1.2 Single Building License ,"$2,700.76 "
132-33 ,LP1.2-LIC-E ,LivePlayer™ 1.2 Enterprise License (Campus) ,"$7,723.66 "
132-33 ,LP2-BUN ,"LivePlayer™ 2.0 Bundle Includes one (1) LivePlayer client license for playing live streams and stored video files at the desktop.  Does not require web browser or a web server. Uses MPEG-1 or MPEG-2 software decoder built into WIN98/NT, WIN2000 & XP ",$112.04 
132-33 ,LP2-DOC ,LivePlayer™ 2.0 Documentation ,$23.18 
132-33 ,LP2-LIC01 ,LivePlayer™ 2.0 - Single license only ,$73.41 
132-33 ,LP2-LIC10 ,LivePlayer™ 2.0 - Software License Expansion Additional 10 Desktop client licenses. ,$386.38 
132-33 ,LP2-LIC25 ,LivePlayer™ 2.0 - Software License Expansion Additional 25 Desktop client licenses. ,$772.75 
132-33 ,LP2-LIC50 ,LivePlayer™ 2.0 - Software License Expansion Additional 50 Desktop client licenses. ,"$1,159.13 "
132-33 ,LP2-LIC-B ,LivePlayer™ 2.0 - Single Building License ,"$2,700.76 "
132-33 ,LP2-LIC-E ,LivePlayer™ 2.0 - Enterprise License (Campus) ,"$7,723.66 "
132-33 ,LP2-UP1.2-1 ,Software Upgrade from LP 1.2 to LP 2.0*- Single License ,$57.95 
132-33 ,LP2-UP1.2-10 ,Software Upgrade from LP 1.2 to LP 2.0*- 10 Licenses ,$231.83 
132-33 ,LP2-UP1.2-25 ,Software Upgrade from LP 1.2 to LP 2.0*- 25 Licenses ,$463.65 
132-33 ,LP2-UP1.2-50 ,Software Upgrade from LP 1.2 to LP 2.0* - 50 Licenses ,$695.48 
132-33 ,LP2-UP1.2-LIC-B ,Software Upgrade from LP 1.2 to LP 2.0*- Single Bldg. ,"$1,541.64 "
132-33 ,LP2-UP1.2-LIC-E ,Software Upgrade from LP 1.2 to LP 2.0*- Enterprise ,"$5,405.40 "
132-33 ,LP2-UP1-1 ,Software Upgrade from LP 1.0 to LP 2.0* - Single License ,$57.95 
132-33 ,LP2-UP1-10 ,Software Upgrade from LP 1.0 to LP 2.0*- 10 Licenses ,$270.46 
132-33 ,LP2-UP1-25 ,Software Upgrade from LP 1.0 to LP 2.0*- 25 Licenses ,$482.97 
132-33 ,LP2-UP1-50 ,Software Upgrade from LP 1.0 to LP 2.0* - 50 Licenses ,$768.88 
132-33 ,LP2-UP1-LIC-B ,Software Upgrade from LP 1.0 to LP 2.0*- Single Bldg. ,"$1,928.01 "
132-33 ,LP2-UP1-LIC-E ,Software Upgrade from LP 1.0 to LP 2.0*- Enterprise ,"$6,178.15 "
,,LiveMap - Network Management Software ,
132-33 ,LM1-BUN ,"Standard LiveMap Bundle - Windows Platform Includes one (1) LiveMap client license for managing Amnis Systems NAC™ and VS-Pro™ systems on a Windows NT desktop PC.  Bundle includes software, CD-ROM media, and documentation. ",$459.78 
,,mpegStudio Pro Bundle ,
132-8 ,VS-2311B-N ,"High Performance MPEG -2 (and MPEG-1) Video Encoding and Network Transport System for file -based applications [pre-configured for NTSC].   Professional rack mounted system includes Pro Encoder, Pro Decoder, and mpegStudio® Pro 4.0 video management softwa","$27,815.22 "
132-8 ,VS-2311B-P ,"High Performance MPEG -2 (and MPEG-1) Video Encoding and Network Transport System for file -based applications [pre-configured for PAL].  Professional rack mounted system includes Pro Encoder, Pro Decoder, and mpegStudio® Pro 4.0 video management software","$27,815.22 "
,,Warranty & Maintenance Program ,
132-12 ,EW-NAC1 ,Enhanced Warranty Program for NAC-3001 Enhancement of standard return-to-factory warranty for twelve (12) months covering NAC-3001 ONLY.  Repair turnaround time is three (3) business days. ,$288.15 
132-12 ,EW-NAC2 ,Enhanced Warranty Program for NAC-3002 Enhancement of standard return-to-factory warranty for twelve (12) months covering the NAC-3002 ONLY.  Repair turnaround time is three (3) business days. ,$432.22 
132-12 ,EW-NAC3 ,Enhanced Warranty Program for NAC-3003 Enhancement of standard return-to-factory warranty for twelve (12) months covering the NAC-3003 ONLY.  Repair turnaround time is three (3) business days. ,$432.22 
132-12 ,EW-NAC4 ,Enhanced Warranty Program for NAC-3004 Enhancement of standard return-to-factory warranty for twelve (12) months covering the NAC-3004 ONLY.  Repair turnaround time is three (3) business days. ,$576.29 
132-12 ,EW-NAC4K ,Enhanced Warranty Program for NAC-4001 Enhancement of standard return-to-factory warranty for twelve (12) months covering NAC-4001 ONLY.  Repair turnaround time is three (3) business days. ,$216.11 
132-12 ,EW-NAC5D ,Enhanced Warranty Program for NAC-3001D Enhancement of standard return-to-factory warranty for twelve (12) months covering NAC-3001D ONLY.  Repair turnaround time is three (3) business days. ,$288.15 
132-12 ,EW-NAC6D ,Enhanced Warranty Program for NAC-3002D Enhancement of standard return-to-factory warranty for twelve (12) months covering the NAC-3002D ONLY.  Repair turnaround time is three (3) business days. ,$432.22 
132-12 ,EW-NAC7D ,Enhanced Warranty Program for NAC-3003D Enhancement of standard return-to-factory warranty for twelve (12) months covering the NAC-3003D ONLY.  Repair turnaround time is three (3) business days. ,$432.22 
132-12 ,EW-NAC8D ,Enhanced Warranty Program for NAC-3004D Enhancement of standard return-to-factory warranty for twelve (12) months covering the NAC-3004D ONLY.  Repair turnaround time is three (3) business days. ,$576.29 
132-12 ,EW-OV-5001 ,Enhanced Warranty Program for OV-5001 System. Enhancement of standard return-to-factory warranty for twelve (12) months covering OV-5001 ONLY. Repair turnaround time is three (3) business days. ,$504.25 
132-12 ,EW-VS-2001D ,Enhanced Warranty Program for VS-2001D System.  Enhancement of standard return-to­factory warranty for twelve (12) months covering VS-2001D ONLY.  Repair turnaround time is three (3) business days. ,$497.05 
132-12 ,EW-VS-2002D ,Enhanced Warranty Program for VS-2002D System.  Enhancement of standard return-to­factory warranty for twelve (12) months covering VS-2002D ONLY.  Repair turnaround time is three (3) business days. ,$605.10 
132-12 ,EW-VS-2003D ,Enhanced Warranty Program for VS-2003D System.  Enhancement of standard return-to­factory warranty for twelve (12) months covering VS-2003D ONLY.  Repair turnaround time is three (3) business days. ,$713.16 
132-12 ,EW-VS-2004D ,Enhanced Warranty Program for VS-2004D System.  Enhancement of standard return-to­factory warranty for twelve (12) months covering VS-2004D ONLY.  Repair turnaround time is three (3) business days. ,$799.60 
132-12 ,EW-VS-2005D ,Enhanced Warranty Program for VS-2005D System.  Enhancement of standard return-to­factory warranty for twelve (12) months covering VS-2005D ONLY.  Repair turnaround time is three (3) business days. ,$886.05 
132-12 ,EW-VS-2310 ,Enhanced Warranty Program for VS-2310 System.  Enhancement of standard return-to-factory warranty for twelve (12) months covering VS-2310 ONLY.  Repair turnaround time is three (3) business days. ,"$1,179.23 "
132-12 ,EW-VS-2311 ,Enhanced Warranty Program for VS-2311 System.  Enhancement of standard return-to-factory warranty for twelve (12) months covering VS-2311 ONLY.  Repair turnaround time is three (3) business days. ,"$1,287.28 "
132-12 ,EW-VS-2312 ,Enhanced Warranty Program for VS-2312 System.  Enhancement of standard return-to-factory warranty for twelve (12) months covering VS-2312 ONLY.  Repair turnaround time is three (3) business days. ,"$1,395.34 "
132-12 ,EW-VS-2313 ,Enhanced Warranty Program for VS-2313 System.  Enhancement of standard return-to-factory warranty for twelve (12) months covering VS-2313 ONLY.  Repair turnaround time is three (3) business days. ,"$1,503.39 "
132-12 ,EW-VS-2314 ,Enhanced Warranty Program for VS-2314 System.  Enhancement of standard return-to-factory warranty for twelve (12) months covering VS-2314 ONLY.  Repair turnaround time is three (3) business days. ,"$1,611.45 "
132-12 ,EW-VS-2320 ,Enhanced Warranty Program for VS-2320 System.  Enhancement of standard return-to-factory warranty for twelve (12) months covering VS-2320 ONLY.  Repair turnaround time is three (3) business days. ,"$1,926.25 "
132-12 ,EW-VS-2321 ,Enhanced Warranty Program for VS-2321 System.  Enhancement of standard return-to-factory warranty for twelve (12) months covering VS-2321 ONLY.  Repair turnaround time is three (3) business days. ,"$2,034.30 "
132-12 ,EW-VS-2322 ,Enhanced Warranty Program for VS-2322 System.  Enhancement of standard return-to-factory warranty for twelve (12) months covering VS-2322 ONLY.  Repair turnaround time is three (3) business days. ,"$2,142.36 "
132-12 ,EW-VS-2330 ,Enhanced Warranty Program for VS-2330 System.  Enhancement of standard return-to-factory warranty for twelve (12) months covering VS-2330 ONLY.  Repair turnaround time is three (3) business days. ,"$2,672.54 "
132-12 ,EW-VS-2331 ,Enhanced Warranty Program for VS-2331 System.  Enhancement of standard return-to-factory warranty for twelve (12) months covering VS-2331 ONLY.  Repair turnaround time is three (3) business days. ,"$2,780.60 "
132-12 ,EW-VS-2340 ,Enhanced Warranty Program for VS-2340 System.  Enhancement of standard return-to-factory warranty for twelve (12) months covering VS-2340 ONLY.  Repair turnaround time is three (3) business days. ,"$3,376.33 "
132-12 ,EW-VS-2341 ,Enhanced Warranty Program for VS-2341 System.  Enhancement of standard return-to-factory warranty for twelve (12) months covering VS-2341 ONLY.  Repair turnaround time is three (3) business days. ,"$3,484.39 "
132-12 ,MPP2-NAC1 ,"Two Year Package Maintenance Program for NAC-3001 (Package includes Year 1 & 2) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus one (1) additional year covering NAC-3001 ONLY.  Repair turnaround time is three (3) busi",$792.40 
132-12 ,MPP2-NAC2 ,"Two Year Package Maintenance Program for NAC-3002  (Package includes Year 1 & 2) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus one (1) additional year covering the NAC-3002 ONLY.  Repair turnaround time is three (3)","$1,152.58 "
132-12 ,MPP2-NAC3 ,"Two Year Package Maintenance Program for NAC-3003  (Package includes Year 1 & 2) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus one (1) additional year covering the NAC-3003 ONLY.  Repair turnaround time is three (3)","$1,152.58 "
132-12 ,MPP2-NAC4 ,"Two Year Package Maintenance Program for NAC-3004  (Package includes Year 1 & 2) Enhancement of standard return-to-factory for first twelve (12) months, plus one (1) additional year covering the NAC-3004 ONLY.  Repair turnaround time is three (3) business","$1,584.80 "
132-12 ,MPP2-NAC4K ,"Two Year Package Maintenance Program for NAC-4001 (Package includes Year 1 & 2)  Enhancement of standard return-to-factory warranty for first twelve (12) months, plus one (1) additional year covering NAC-4001 ONLY.  Repair turnaround time is three (3) bus",$576.29 
132-12 ,MPP2-NAC5D ,"Two Year Package Maintenance Program for NAC-3001D  (Package includes Year 1 & 2) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus one (1) additional year covering NAC-3001D ONLY.  Repair turnaround time is three (3) b",$792.40 
132-12 ,MPP2-NAC6D ,"Two Year Package Maintenance Program for NAC-3002D  (Package includes Year 1 & 2) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus one (1) additional year covering the NAC-3002D ONLY.  Repair turnaround time is three (","$1,152.58 "
132-12 ,MPP2-NAC7D ,"Two Year Package Maintenance Program for NAC-3003D  (Package includes Year 1 & 2) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus one (1) additional year covering the NAC-3003D ONLY.  Repair turnaround time is three (","$1,152.58 "
132-12 ,MPP2-NAC8D ,"Two Year Package Maintenance Program for NAC-3004D  (Package includes Year 1 & 2) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus one (1) additional year covering the NAC-3004D ONLY.  Repair turnaround time is three (","$1,584.80 "
132-12 ,MPP2-OV-5001 ,"Two Year Package Maintenance Program for OV-5001 (Package includes Year 1 & 2). Enhancement of standard return-to-factory warranty for twelve (12) months, plus one (1) additional year covering OV-5001 ONLY. Repair turnaround time is three (3) business day","$1,368.69 "
132-12 ,MPP2-VS-2001D ,"Two Year Package Maintenance Program for VS-2001D System. (Package includes Year 1 & 2) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus one (1) additional year covering VS-2001D ONLY.  Repair turnaround time is three ","$1,325.47 "
132-12 ,MPP2-VS-2002D ,"Two Year Package Maintenance Program for VS-2002D System. (Package includes Year 1 & 2) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus one (1) additional year covering VS-2002D ONLY.  Repair turnaround time is three ","$1,613.61 "
