SIN ,Foundry Part Number ,Product Description,GSA Rate
132-8 ,B24FX ,24-port 100Base-FX (MTRJ) for 50 or 62.5µm MMF BigIron IronCore module ,"$7,183.66 "
132-8 ,B10Gx-LR ,1-port 10GBase-LR (SC) for 9 or 10µm SMF BigIron JetCore module - supports distances of up to 10km ,"$10,777.28 "
132-8 ,B10Gx-ER ,1-port 10GBase-ER (SC) for 9 or 10µm SMF BigIron JetCore module - supports distances of up to 40km ,"$15,808.36 "
132-8 ,B10Gx1 ,"1-port 10Gigabit Ethernet base module for BigIron systems requires optics. Select10G-XNPK-SR, 10G-XNPK-LR or 10G-XNPK-ER ","$15,476.36 "
132-8 ,B10Gx2 ,"2-port 10Gigabit Ethernet base module for BigIron systems requires optics. Select10G-XNPK-SR, 10G-XNPK-LR or 10G-XNPK-ER ","$23,216.48 "
132-8 ,10G-XNPK-SR ,"850nm serial XENPAK plug-in transceiver (SC), target range of 300m over MMF ","$2,705.17 "
132-8 ,10G-XNPK-LR ,1310nm serial plugable XENPAK optic only (SC) for up to 10km over SMF ,"$3,866.18 "
132-8 ,10G-XNPK-ER ,1550nm serial plugable XENPAK optic only (SC) for up to 40km over SMF ,"$9,284.26 "
132-8 ,LHA ,1-port 1000Base-LongHaul (SC) series A Gigabit uplink for 70km maximum reach with 9 or 10µm SMF and minimum 10dB attenuation - specify SX to LHx upgrade quantities. ,"$4,640.19 "
132-8 ,LHB ,1-port 1000Base-LongHaul (SC) series B Gigabit uplink for 150km maximum reach with 9 or 10µm SMF and minimum 10dB attenuation - specify SX to LHx upgrade quantities. ,"$6,188.22 "
132-8 ,E1MG-TX ,"1000BASE-TX MINI-GBIC COPPER, RJ-45 CONNECTOR ",$228.33 
132-8 ,E1MG-SX ,"1000Base-SX mini-GBIC optic, MMF, LC connector ",$344.43 
132-8 ,E1MTG-SX ,"1000Base-SX mini-GBIC optic, MMF, MTRJ connector ",$344.43 
132-8 ,E1MG-LX ,"1000Base-LX mini-GBIC optic, SMF, LC connector ",$770.13 
132-8 ,E1MG-LHA ,"1000Base-LHA mini-GBIC optic, SMF, LC connector ","$4,640.19 "
132-8 ,E1MG-LHB ,"1000Base-LHB mini-GBIC optic, SMF, LC connector, 150km Maximum reach ","$6,188.22 "
132-8 ,B8GCMR ,8-port 1000Base-T (RJ45) redundant BigIron IronCore management II module ,"$5,386.84 "
132-8 ,BZGMR3-A ,0-port redundant BigIron IronCore management III module ,"$5,386.84 "
132-8 ,B8GMR3-A ,8-port 1000Base-SX (SC) for 50 or 62.5µm MMF redundant BigIron IronCore management III module ,"$6,464.93 "
132-8 ,B8GMR3-A-2LX ,6-port 1000Base-SX (SC) for 50 or 62.5µm MMF & 2-port 1000Base-LX SC for 9 or 10µm SMF redundant BigIron IronCore management III module ,"$7,255.53 "
132-8 ,B8GMR3-A-4LX ,4-port 1000Base-SX (SC) for 50 or 62.5µm MMF & 4-port 1000Base-LX SC for 9 or 10µm SMF redundant BigIron IronCore management III module ,"$8,046.13 "
132-8 ,B8GMR3-A-8LX ,8-port 1000Base-LX SC for 9 or 10µm SMF redundant BigIron IronCore management III module ,"$8,836.72 "
132-8 ,BxGMR4-A ,8-port 1000Base-X (mini-GBIC) redundant BigIron IronCore management module ,"$7,183.66 "
132-8 ,M4RZG ,0-port redundant BigIron IronCore management module with two (2) PCMCIA Type II slots ,"$12,214.73 "
132-8 ,M4R4G ,4-port 1000Base-X (GBIC) redundant BigIron IronCore management module with two (2) PCMCIA Type II slots ,"$13,652.18 "
132-8 ,FLASH-ISP ,80 MB memory flash card for M4RZG & M4R4G module ,$571.38 
132-8 ,E1G-SX ,"1000Base-SX GBIC optic, MMF, SC connector ",$383.13 
132-8 ,E1G-LX ,"1000Base-LX GBIC optic, SMF, SC connector ",$770.13 
132-8 ,E1G-LH ,"1000Base-LH A-series, GBIC optic, SMF, SC connector (70km) ","$4,640.19 "
132-8 ,BMR256-FC ,256MB SDRAM - FACTORY CONFIGURED - M2/3 Only ,"$1,074.49 "
132-8 ,BMR512-FC ,512MB SDRAM option - FACTORY CONFIGURED - M4 Only ,"$1,433.85 "
132-8 ,BMR512-FRU ,512MB SDRAM option - FIELD REPLACEABLE - for M4 only ,"$1,544.14 "
132-8 ,VM-1 ,BigIron Velocity Management module (Zero-ports) ,"$25,151.78 "
132-8 ,NI4802 ,"NetIron 4802 with 48 10/100 Base-T and 2 mini-GBIC slots, and Full Layer 3 SW that includes IPv6. ","$11,606.30 "
132-8 ,NI4802-DC ,"NetIron 4802 with 48 10/100 Base-T and 2 mini-GBIC slots, and Full Layer 3 SW that includes IPv6. ","$13,541.33 "
132-8 ,E1MG-SX ,"1000Base-SX mini-GBIC optic, MMF, LC connector ",$344.43 
132-8 ,E1MTG-SX ,"1000Base-LX mini-GBIC optic, MMF, MTRJ connector ",$344.43 
132-8 ,E1MG-LX ,"1000Base-LX mini-GBIC optic, SMF, LC connector ",$770.13 
132-8 ,E1MG-LHA ,"1000Base-LHA mini-GBIC optic, SMF, LC ","$4,640.19 "
132-8 ,E1MG-LHB ,"1000Base-LHB mini-GBIC optic, SMF, LC connector, 150km Maximum reach ","$6,188.22 "
132-8 ,RPS5 ,AC power supply for FastIron Edge Switch Family ,$770.13 
132-8 ,RPS5DC ,-48vDC power supply for FastIron Edge Switch Family ,"$1,002.34 "
132-8 ,N400 ,4-slot NetIron chassis with single AC power supply ,"$2,871.30 "
132-8 ,N400-DC ,4-slot NetIron chassis with single -48vDC power supply ,"$4,668.12 "
132-8 ,N400-S ,"4-slot NetIron SPARE chassis, NO power supply ","$1,793.22 "
132-8 ,N800 ,8-slot NetIron chassis with one single AC power supply ,"$5,746.21 "
132-8 ,N800-DC ,8-slot NetIron chassis with single -48vDC power supply ,"$7,543.02 "
132-8 ,N800-S ,"8-slot NetIron SPARE chassis, NO power supply ","$4,668.12 "
132-8 ,N1500 ,15-slot NetIron chassis with two (2) AC power supply ,"$8,621.11 "
132-8 ,N1500-DC ,15-slot NetIron chassis with two (2) -48vDC power supply ,"$10,058.56 "
132-8 ,N1500-S ,15-slot NetIron SPARE chassis only ,"$6,824.29 "
132-8 ,N1500-NEBS ,15-slot NEBS Level 3 Compliant NetIron chassis with two (2) AC power supply and one (1) Air Filter NOTE: Change Filter Once per Quarter ,"$14,370.91 "
132-8 ,N1500-DC-NEBS ,15-slot NEBS Level 3 Compliant NetIron chassis with two (2) -48vDC power supply and one (1) Air Filter NOTE: Change Filter Once per Quarter ,"$15,808.36 "
132-8 ,N1500-S-NEBS ,15-slot NEBS Level 3 Compliant NetIron SPARE chassis only and one (1) Air Filter NOTE: Change Filter Once per Quarter ,"$12,574.09 "
132-8 ,10445-003 ,NEBS 60 PPI Quadrafoam Air Filter Rated UL 94 HF-1 NOTE: Change Filter Once per Quarter ,$33.17 
132-8 ,RPS3 ,Auto-switching (90-220v) AC power supply ,"$1,931.16 "
132-8 ,RPS3DC ,-48vDC power supply ,"$3,866.18 "
132-8 ,RPS4 ,15-slot auto-switching (90-220v) AC power supply ,"$3,866.18 "
132-8 ,RPS4DC ,15-slot -48vDC power supply ,"$4,640.19 "
132-8 ,ML-24FX ,JetCore 24-port 100BaseFX for FastIron 400/800/1500 (multimode) ,"$10,777.28 "
132-8 ,ML-24FX-SR ,JetCore 24-port 100BaseFX for FastIron 400/800/1500 (15km) ,"$14,370.91 "
132-8 ,ML-24FX-IR ,JetCore 24-port 100BaseFX for FastIron 400/800/1500 (25km) ,"$17,964.53 "
132-8 ,ML-48E ,48-port 10/100Base-TX (RJ45) double-wide MetroLink-JetCore module ,"$6,464.93 "
132-8 ,ML-48T ,48-port 10/100Base-TX (RJ21-Female) Telco MetroLink-JetCore module ,"$7,543.02 "
132-8 ,ML-8Gx ,8-port 1000Base-X (mini-GBIC) MetroLink-JetCore module ,"$7,183.66 "
132-8 ,ML-16GC ,16-port 100/1000Base-T (RJ45) MetroLink-JetCore module ,"$9,339.83 "
132-8 ,ML-16Gx ,16-port 1000Base-X (mini-GBIC) MetroLink-JetCore module ,"$11,496.01 "
132-8 ,E1MG-SX ,"1000Base-SX mini-GBIC optic, MMF, LC connector ",$344.43 
132-8 ,E1MTG-SX ,"1000Base-SX mini-GBIC optic, MMF, MTRJ connector ",$344.43 
132-8 ,E1MG-LX ,"1000Base-LX mini-GBIC optic, SMF, LC connector ",$770.13 
132-8 ,E1MG-LHA ,"1000Base-LHA mini-GBIC optic, SMF, LC connector ","$4,640.19 "
132-8 ,E1MG-LHB ,"1000Base-LHB mini-GBIC optic, SMF, LC connector, 150km Maximum reach ","$6,188.22 "
132-8 ,ML-10Gx-SR ,1-port 10GBase-SR (SC) for 50 or 62.5µm MMF MetroLink-JetCore module - supports distances up to 300m ,"$10,417.92 "
132-8 ,ML-10Gx-LR ,1-port 10GBase-LR (SC) for 9 o r 10µm SMF MetroLink-JetCore module - supports distances of up to 10km ,"$10,777.28 "
132-8 ,ML-10Gx-ER ,1-port 10GBase-ER (SC) for 9 or 10µm SMF MetroLink-JetCore module - supports distances of up to 40km ,"$15,808.36 "
132-8 ,ML-10Gx1 ,"1-port 10Gigabit Ethernet base module for BigIron systems requires optics. Select10G-XNPK-SR,  10G-XNPK-LR or 10G-XNPK-ER ","$15,476.36 "
132-8 ,ML-10Gx2 ,"NetIron MetroLink 2-port 10Gigabit Ethernet base module requires optics. Select10G-XNPK-SR, 10G-XNPK-LR or 10G-XNPK-ER ","$23,216.48 "
132-8 ,10G-XNPK-SR ,"850nm serial XENPAK plug-in transceiver (SC), target range of 300m over MMF ","$2,705.17 "
132-8 ,10G-XNPK-LR ,1310nm serial plugable XENPAK optic only (SC) for up to 10km over SMF ,"$3,866.18 "
132-8 ,10G-XNPK-ER ,1550nm serial plugable optic only (SC) for up to 40km over SMF ,"$9,284.26 "
132-8 ,ML-GMR4 ,8-port 1000Base-X (mini-GBIC) redundant MetroLink management module ,"$10,777.28 "
132-8 ,ML-ZMR4 ,"0-port redundant management module includes a 466 MHz processor equipped with 512 MB system SDRAM, 8MB buffer RAM, two (2) PCMCIA Type II slots, an 80MB flash memory card ","$12,214.73 "
132-8 ,E1MG-SX ,"1000Base-SX mini-GBIC optic, MMF, LC connector ",$344.43 
132-8 ,E1MTG-SX ,"1000Base-SX mini-GBIC optic, MMF, MTRJ connector ",$344.43 
132-8 ,E1MG-LX ,"1000Base-LX mini-GBIC optic, SMF, LC connector ",$770.13 
132-8 ,E1MG-LHA ,"1000Base-LHA mini-GBIC optic, SMF, LC connector ","$4,640.19 "
132-8 ,E1MG-LHB ,"1000Base-LHB mini-GBIC optic, SMF, LC connector, 150km Maximum reach ","$6,188.22 "
132-8 ,ML-2OC3A-MM ,"2-port ATM OC-3c/155Mbps module, MMF (2 km reach) ","$10,777.28 "
132-8 ,ML-2OC3A-SR ,"2-port ATM OC-3c/155Mbps module, SMF, Short Reach (15km) ","$12,933.46 "
132-8 ,ML-2OC3A-IR ,"2-port ATM OC-3c/155Mbps module, SMF, Int. Reach (40km) ","$15,808.36 "
132-8 ,ML-4OC3A-MM ,"4-port ATM OC-3c/155Mbps module, MMF (2 km reach) ","$17,964.53 "
132-8 ,ML-4OC3A-SR ,"4-port ATM OC-3c/155Mbps module, SMF, Short Reach (15km) ","$21,558.16 "
132-8 ,ML-4OC3A-IR ,"4-port ATM OC-3c/155Mbps module, SMF, Int. Reach (40km) ","$27,307.97 "
132-8 ,ML-2OC3S-MM ,"2-port Packet over SONET/SDH OC-3c/155Mbps, MMF (2 km reach) ","$10,777.28 "
132-8 ,ML-2OC3S-SR ,"2-port OC-3c (155Mbps) Pkt over SONET/SDH module, SMF, Short Reach (15km) ","$12,933.46 "
132-8 ,ML-2OC3S-IR ,"2-port OC-3c (155Mbps) Pkt over SONET/SDH module, SMF, Int. Reach (40km) ","$15,808.36 "
132-8 ,NI400 ,4-slot chassis equipped with a 0-port (NIZGMR) redundant management module.  Chassis ships with one (1) AC power supply. ,"$15,089.63 "
132-8 ,NI400-DC ,4-slot chassis equipped with a 0-port (NIZGMR) redundant management module.  Chassis ships with one (1) ­48vDC power supply. ,"$16,886.45 "
132-8 ,NI400-4 ,4-slot chassis equipped with a 4-port (NI4GMR) redundant management module.  Chassis ships with one (1) AC power supply. ,"$16,527.08 "
132-8 ,NI400-4DC ,4-slot chassis equipped with a 4-port (NI4GMR) redundant management module.  Chassis ships with one (1) -48vDC power supply. ,"$18,323.90 "
132-8 ,NI800 ,8-slot chassis equipped with a 0-port (NIZGMR) redundant management module.  Chassis ships with one (1) AC power supply. ,"$17,964.53 "
132-8 ,NI800-DC ,8-slot chassis equipped with a 0-port (NIZGMR) redundant management module.  Chassis ships with one (1) ­48vDC power supply. ,"$19,757.75 "
132-8 ,NI800-4 ,8-slot chassis equipped with a 4-port (NI4GMR) redundant management module.  Chassis ships with one (1) AC power supply. ,"$19,401.98 "
132-8 ,NI800-4DC ,8-slot chassis equipped with a 4-port (NI4GMR) redundant management module.  Chassis ships with one (1) -48vDC power supply. ,"$21,198.80 "
132-8 ,NI-1500 ,15-slot chassis equipped with a 0-port (NIZGMR) redundant management module.  Chassis ships with two (2) AC power supplies. ,"$20,839.43 "
132-8 ,NI-1500-DC ,15-slot chassis equipped with a 0-port (NIZGMR) redundant management module.  Chassis ships with two (2) -48vDC power supplies ,"$22,276.88 "
132-8 ,NI-1500-4 ,15-slot chassis equipped with a 4-port (NI4GMR) redundant management module.  Chassis ships with two (2) AC power supplies. ,"$22,276.88 "
132-8 ,NI-1500-4DC ,15-slot chassis equipped with a 4-port (NI4GMR) redundant management module.  Chassis ships with two (2) ­48vDC power supplies. ,"$23,714.33 "
132-8 ,E1G-SX ,"1000Base-SX GBIC optic, MMF, SC connector ",$383.13 
132-8 ,E1G-LX ,"1000Base-LX GBIC optic, SMF, SC connector ",$770.13 
132-8 ,E1G-LH ,"1000Base-LH A-series, GBIC optic, SMF, SC connector (70km) ","$4,640.19 "
132-8 ,BxG-A ,8-port 1000Base-X (mini-GBIC) NetIron IronCore module ,"$5,386.84 "
132-8 ,B2G-A ,2-port 1000Base-SX (SC) for 50 or 62.5µm MMF NetIron IronCore module ,"$3,590.02 "
132-8 ,B4G-A ,4-port 1000Base-SX (SC) for 50 or 62.5µm MMF NetIron IronCore module ,"$4,308.76 "
132-8 ,B8G-A ,8-port 1000Base-SX (SC) for 50 or 62.5µm MMF NetIron IronCore module ,"$5,386.84 "
132-8 ,B8G-A-2LX ,6-port 1000Base-SX (SC) for 50 or 62.5µm MMF & 2-port 1000Base-LX SC for 9 or 10µm SMF NetIron IronCore module ,"$6,177.44 "
132-8 ,B8G-A-4LX ,4-port 1000Base-SX (SC) for 50 or 62.5µm MMF & 4-port 1000Base-LX SC for 9 or 10µm SMF NetIron IronCore module ,"$6,968.04 "
132-8 ,B8G-A-8LX ,8-port 1000Base-LX SC for 9 or 10µm SMF NetIron IronCore module ,"$7,758.64 "
132-8 ,B8GC ,8-port 1000Base-T (RJ45) NetIron IronCore module ,"$5,386.84 "
132-8 ,B24E-A ,24-port 10/100Base-TX (RJ45) NetIron IronCore module ,"$4,668.12 "
132-8 ,B24FX ,24-port 100Base-FX (MTRJ) for 50 or 62.5µm MMF NetIron IronCore module ,"$7,183.66 "
132-8 ,B24FX-SR ,24-port 100Base-FX (MTRJ) for  9 or 10µm SMF NetIron IronCore module (15km) ,"$14,370.91 "
132-8 ,B24FX-IR ,24-port 100Base-FX (MTRJ) for  9 or 10µm SMF NetIron IronCore module (40km) ,"$17,964.53 "
132-8 ,LHA ,1-port 1000Base-LongHaul (SC) series A Gigabit uplink for 70km maximum reach with 9 or 10µm SMF and minimum 10dB attenuation - specify SX to LHx upgrade quantities ,"$4,640.19 "
132-8 ,LHB ,1-port 1000Base-LongHaul (SC) series B Gigabit uplink for 150km maximum reach with 9 or 10µm SMF and minimum 10dB attenuation - specify SX to LHx upgrade quantities. ,"$6,188.22 "
132-8 ,E1MG-SX ,"1000Base-SX mini-GBIC optic, MMF, LC connector ",$344.43 
132-8 ,E1MTG-SX ,"1000Base-SX mini-GBIC optic, MMF, MTRJ connector ",$344.43 
132-8 ,E1MG-LX ,"1000Base-LX mini-GBIC optic, SMF, LC connector ",$770.13 
132-8 ,E1MG-LHA ,"1000Base-LHA mini-GBIC optic, SMF, LC connector ","$4,640.19 "
132-8 ,E1MG-LHB ,"1000Base-LHB mini-GBIC optic, SMF, LC connector, 150km Maximum reach ","$6,188.22 "
132-8 ,B10Gx-SR ,1-port 10GBase-SR (SC) for 50 or 62.5µm MMF  JetCore module - supports distances up to 300m ,"$10,417.92 "
132-8 ,B10Gx-LR ,1-port 10GBase-LR (SC) for 9 or 10µm SMF  JetCore module - supports distances of up to 10km ,"$10,777.28 "
132-8 ,B10Gx-ER ,1-port 10GBase-ER (SC) for 9 or 10µm SMF  JetCore module - supports distances of up to 40km ,"$15,808.36 "
132-8 ,ML-10Gx1 ,1-port 10Gigabit Ethernet base module for BigIron systems – requires optics Select 10G-XNPK-LR or 10G-XNPK-ER ,"$15,476.36 "
132-8 ,ML-10Gx2 ,2-port 10Gigabit Ethernet base module for NetIron systems – requires optics Select 10G-XNPK-LR or 10G-XNPK-ER ,"$23,216.48 "
132-8 ,10G-XNPK-LR ,1310nm serial plugable XENPAK optic only (SC) for up to 10km over SMF ,"$3,866.18 "
132-8 ,10G-XNPK-ER ,1550nm serial plugable XENPAK optic only (SC) for up to 40km over SMF ,"$9,284.26 "
132-8 ,10G-XNPK-SR ,"850nm serial XENPAK plug-in transceiver (SC), target range of 300m over MMF ","$2,705.17 "
132-8 ,NIZGMR ,"0-port redundant management module includes a 466 MHz processor equipped with 512 MB system SDRAM, 8MB buffer RAM, two (2) PCMCIA Type II slots, an 80MB flash memory card ","$12,214.73 "
132-8 ,NI4GMR ,"4-port 1000Base-X (GBIC) redundant management module includes a 466 MHz processor equipped with 512 MB system SDRAM, 8MB buffer RAM, two (2) PCMCIA Type II slots, an 80MB flash memory card ","$13,652.18 "
132-33 ,NI-MPLS-SW ,IronWare MPLS Software and PROM (required for MPLS) ,"$8,288.83 "
132-8 ,FLASH-ISP ,Spare 80 MB flash memory card ,$571.38 
132-8 ,E1G-SX ,"1000Base-SX GBIC optic, MMF, SC connector ",$383.13 
132-8 ,E1G-LX ,"1000Base-LX GBIC optic, SMF, SC connector ",$770.13 
132-8 ,E1G-LH ,"1000Base-LH A-series, GBIC optic, SMF, SC connector (70km) ","$4,640.19 "
132-8 ,VM-1 ,NetIron Velocity Management module (Zero-ports) ,"$25,151.78 "
132-8 ,B2A155-MM ,"2-port ATM OC-3c/155Mbps module, MMF (2 km reach) ","$10,777.28 "
132-8 ,B2A155-SR ,"2-port ATM OC-3c/155Mbps module, SMF, Short Reach (15km) ","$12,933.46 "
132-8 ,B2A155-IR ,"2-port ATM OC-3c/155Mbps module, SMF, Int. Reach (40km) ","$15,808.36 "
132-8 ,B4A155-MM ,"4-port ATM OC-3c/155Mbps module, MMF (2 km reach) ","$17,964.53 "
132-8 ,B4A155-SR ,"4-port ATM OC-3c/155Mbps module, SMF, Short Reach (15km) ","$21,558.16 "
132-8 ,B4A155-IR ,"4-port ATM OC-3c/155Mbps module, SMF, Int. Reach (40km) ","$27,307.97 "
132-8 ,B2P155-MM ,"2-port Packet over SONET/SDH OC-3c/155Mbps, MMF (2 km reach) ","$10,777.28 "
132-8 ,B2P155-SR ,"2-port OC-3c (155Mbps) Pkt over SONET/SDH module, SMF, Short Reach (15km) ","$12,933.46 "
132-8 ,B2P155-IR ,"2-port OC-3c (155Mbps) Pkt over SONET/SDH module, SMF, Int. Reach (40km) ","$15,808.36 "
132-8 ,B2P622-MM ,"2-port OC-12c/OC-3c (622/155Mbps) Pkt over SONET/SDH module, MMF (500m) ","$21,558.16 "
132-8 ,B2P622-SR ,"2-port OC-12c/OC-3c (622/155Mbps) Pkt over SONET/SDH module, SMF, Short Reach (15km) ","$27,307.97 "
132-8 ,B2P622-IR ,"2-port OC-12c/OC-3c (622/155Mbps) Pkt over SONET/SDH module, SMF, Int. Reach (40km) ","$32,339.04 "
132-8 ,N2P2488-A-SR ,"2-port NPA-based OC-48c (2488Mbps) Pkt over SONET/SDH module, SMF, Short Reach (15km) ","$46,713.54 "
132-8 ,N2P2488-A-IR ,"2-port NPA-based OC-48c (2488Mbps) Pkt over SONET/SDH module, SMF, Int. Reach (40km) ","$53,900.80 "
132-8 ,FCSLB16 ,16-port 10/100Base-TX (RJ45) with one expansion slot ,"$7,183.66 "
132-8 ,FCSLB24 ,24-port 10/100Base-TX (RJ45) with one expansion slot ,"$10,777.28 "
132-8 ,FCSLB16DC ,16-port 10/100Base-TX (RJ45) with one expansion slot and -48vDC power supply ,"$7,399.27 "
132-8 ,FCSLB24DC ,24-port 10/100Base-TX (RJ45) with one expansion slot and -48vDC power supply ,"$10,992.90 "
132-8 ,U1GC ,1-port 1000Base-T (RJ45) copper Gigabit uplink ,"$1,254.17 "
132-8 ,U2GC ,2-port 1000Base-T (RJ45) copper Gigabit uplink ,"$2,476.00 "
132-8 ,RPS ,"Redundant auto-switching 90-240v AC power supply for FWS24, NSR16/24, and ServerIronXL 8/16/24 only ",$715.12 
132-8 ,RPSDC-FC ,"-48vDC power supply for FWS24, NSR16/24, and ServerIronXL 8/16/24 only and is a FACTORY CONFIGURATION ONLY ",$930.75 
132-8 ,F2100F ,2-port 100Base-FX MMF (SC) uplink ,"$1,433.85 "
132-8 ,F1GE ,1-port 1000Base-SX (SC) Gigabit uplink for 50 or 62.5µm MMF ,"$1,433.85 "
132-8 ,F2GE ,2-port 1000Base-SX (SC) Gigabit uplink for 50 or 62.5µm MMF ,"$2,655.69 "
132-8 ,FLX1GE ,1-port 1000Base-LX (SC) Gigabit uplink for 9 or 10µm SMF ,"$1,865.08 "
132-8 ,FLX2GE ,2-port 1000Base-LX (SC) Gigabit uplink for 9 or 10µm SMF ,"$3,446.28 "
